AveragePrice,Total Volume,type,region,month
1.18,5225200.52,0,6,7
1.13,5451636.92,0,6,7
1.12,6718011.83,0,6,7
1.1,5641742.02,0,6,6
1.07,5952597.29,0,6,6
0.97,6741662.31,0,6,6
0.98,6374842.9,0,6,6
0.98,6236903.31,0,6,5
1.1,5621713.64,0,6,5
1.08,5289138.5,0,6,5
0.93,6650357.96,0,6,5
0.88,8567534.49,0,6,5
1.15,4923565.04,0,6,4
1.05,5871080.81,0,6,4
1.06,5636644.51,0,6,4
1.12,5467155.55,0,6,4
1.1,5341821.67,0,6,3
1.06,5571812.77,0,6,3
1.06,5557163.11,0,6,3
0.96,5990243.89,0,6,3
0.84,6700134.25,0,6,3
0.96,5951871.32,0,6,2
0.96,5699944.93,0,6,2
0.91,5871224.58,0,6,2
0.85,9032180.67,0,6,2
1.06,4929884.26,0,6,1
1.02,5570915.26,0,6,1
0.92,6024932.34,0,6,1
0.93,5777334.9,0,6,1
0.96,156698.24,0,7,12
0.98,139917.89,0,7,12
0.95,157146.19,0,7,12
0.99,156114.08,0,7,12
0.95,138858.86,0,7,11
1.0,133618.33,0,7,11
1.01,169281.16,0,7,11
1.03,164322.04,0,7,11
1.11,171793.87,0,7,11
1.27,140920.61,0,7,10
1.26,156565.98,0,7,10
1.14,167396.56,0,7,10
1.22,146737.74,0,7,10
1.09,168780.22,0,7,9
1.2,161443.98,0,7,9
1.19,171077.53,0,7,9
1.01,227728.43,0,7,9
1.2,179026.88,0,7,8
1.15,203298.37,0,7,8
1.24,178525.52,0,7,8
1.21,173059.32,0,7,8
1.24,179321.9,0,7,8
1.23,173896.82,0,7,7
1.19,187575.03,0,7,7
1.18,182856.82,0,7,7
1.18,216118.9,0,7,7
1.17,193654.01,0,7,6
1.17,201173.1,0,7,6
1.15,207093.88,0,7,6
1.15,199980.3,0,7,6
1.19,194630.86,0,7,5
1.2,212527.72,0,7,5
1.21,190799.99,0,7,5
1.19,192767.09,0,7,5
1.0,261492.2,0,7,5
1.2,182141.55,0,7,4
1.18,180944.22,0,7,4
1.17,204005.24,0,7,4
1.19,177919.28,0,7,4
1.23,178788.49,0,7,3
